1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;6;0;0;0;1;0;0;0;1;0;0;0;1;0;0;0;1
7;7;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1
8;8;3;3;0;0;3;3;0;0;0;3;0;0;0;3;0;0
9;9;2;2;1;2;2;2;1;2;0;2;0;2;0;2;0;2
10;10;1;2;3;3;1;2;3;3;0;2;0;3;0;2;0;3
11;11;0;1;1;5;0;1;1;5;0;1;0;5;0;1;0;5
12;12;1;1;5;6;1;1;5;6;0;1;0;6;0;1;0;6
13;13;2;2;6;6;2;2;6;6;0;2;0;6;0;2;0;6
14;14;1;2;6;6;1;2;6;6;0;2;0;6;0;2;0;6
15;15;3;3;7;7;3;3;7;7;0;3;0;7;0;3;0;7
16;16;3;3;6;8;3;3;6;8;0;3;0;8;0;3;0;8
17;17;1;2;10;9;1;2;10;9;0;2;0;9;0;2;0;9
18;18;4;3;9;6;4;3;9;6;0;2;0;5;0;2;0;5
19;19;1;2;8;12;1;2;8;12;0;2;0;12;0;2;0;12
20;20;3;4;9;11;3;4;9;11;0;4;0;10;0;4;0;10
21;21;3;4;11;12;3;4;11;12;0;4;0;12;0;4;0;12
22;22;2;2;14;14;2;2;14;14;0;2;0;12;0;2;0;12
23;23;2;2;13;16;2;2;13;16;0;2;0;16;0;2;0;16
24;24;3;3;15;16;3;3;15;16;0;3;0;16;0;3;0;16
25;25;4;4;12;15;4;4;12;15;0;4;0;15;0;4;0;15
26;26;2;2;19;19;2;2;19;19;0;2;0;16;0;2;0;16
27;27;2;4;13;18;2;4;13;18;0;3;0;16;0;3;0;16
28;28;2;2;16;20;2;2;16;20;0;2;0;20;0;2;0;20
29;29;3;3;18;20;3;3;18;20;0;3;0;19;0;3;0;19
30;30;3;4;17;21;3;4;17;21;0;4;0;20;0;4;0;20
