1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;6;0;0;1;1;0;0;1;1;0;0;0;1;0;0;0;1
7;7;0;0;2;2;0;0;2;2;0;0;2;2;0;0;2;2
8;8;0;0;3;2;0;0;3;2;0;0;1;2;0;0;1;2
9;9;0;0;4;4;0;0;4;4;0;0;4;3;0;0;4;3
10;10;0;0;4;5;0;0;4;5;0;0;4;5;0;0;4;5
11;11;1;1;5;5;1;1;5;5;0;1;5;5;0;1;5;5
12;12;2;2;5;5;2;2;5;5;0;2;2;4;0;2;2;4
13;13;2;3;5;5;2;3;5;5;0;3;3;5;0;3;3;5
14;14;3;4;4;5;3;4;4;5;0;4;2;4;0;4;2;4
15;15;5;4;5;5;5;4;5;5;0;3;2;4;0;3;2;4
16;16;6;6;5;5;6;6;5;5;0;5;4;5;0;5;4;5
17;17;6;6;5;5;6;6;5;5;0;6;2;4;0;6;2;4
18;18;5;7;4;5;5;7;4;5;0;7;1;5;0;7;1;5
19;19;9;9;4;3;9;9;4;3;0;9;3;3;0;9;3;3
20;20;8;10;5;5;8;10;5;5;0;9;2;5;0;9;2;5
21;21;8;10;5;5;8;10;5;5;0;10;3;5;0;10;3;5
22;22;8;12;3;4;8;12;3;4;0;12;3;4;0;12;3;4
23;23;11;11;5;5;11;11;5;5;0;10;3;5;0;10;3;5
24;24;10;10;4;5;10;10;4;5;0;9;2;5;0;9;2;5
25;25;9;15;3;4;9;15;3;4;0;15;0;4;0;15;0;4
26;26;16;12;5;5;16;12;5;5;0;12;3;5;0;12;3;5
27;27;17;16;5;5;17;16;5;5;0;16;4;5;0;16;4;5
28;28;9;18;4;5;9;18;4;5;0;14;3;5;0;14;3;5
29;29;17;18;5;5;17;18;5;5;0;18;2;5;0;18;2;5
30;30;20;20;5;3;20;20;5;3;0;20;2;3;0;20;2;3
