1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;6;0;0;0;0;0;0;0;0;0;0;1;1;0;0;1;1
7;7;0;0;2;2;0;0;2;2;0;0;2;2;0;0;2;2
8;8;0;0;0;0;0;0;0;0;0;0;3;3;0;0;3;3
9;9;0;0;1;1;0;0;1;1;0;0;4;4;0;0;4;4
10;10;0;0;1;2;0;0;1;2;0;0;4;5;0;0;4;5
11;11;0;0;3;3;0;0;3;3;0;1;5;5;0;1;5;5
12;12;0;0;4;4;0;0;4;4;0;1;5;3;0;1;5;3
13;13;0;0;2;3;0;0;2;3;0;3;4;5;0;3;4;5
14;14;0;0;5;5;0;0;5;5;0;4;3;5;0;4;3;5
15;15;0;0;4;3;0;0;4;3;0;5;4;4;0;5;4;4
16;16;0;0;4;3;0;0;4;3;0;6;4;3;0;6;4;3
17;17;0;0;2;3;0;0;2;3;0;5;3;5;0;5;3;5
18;18;0;0;3;4;0;0;3;4;0;8;4;5;0;8;4;5
19;19;0;0;3;5;0;0;3;5;0;9;1;5;0;9;1;5
20;20;0;0;5;4;0;0;5;4;0;7;1;3;0;7;1;3
21;21;0;1;5;4;0;1;5;4;0;11;1;4;0;11;1;4
22;22;0;2;5;5;0;2;5;5;0;10;4;5;0;10;4;5
23;23;0;3;5;5;0;3;5;5;0;12;2;5;0;12;2;5
24;24;0;4;5;5;0;4;5;5;0;14;2;5;0;14;2;5
25;25;0;5;3;5;0;5;3;5;0;15;2;5;0;15;2;5
26;26;0;6;4;5;0;6;4;5;0;15;4;5;0;15;4;5
27;27;0;7;3;5;0;7;3;5;0;17;3;5;0;17;3;5
28;28;0;8;1;5;0;8;1;5;0;18;1;5;0;18;1;5
29;29;0;9;3;5;0;9;3;5;0;16;1;5;0;16;1;5
30;30;0;9;3;4;0;9;3;4;0;19;2;4;0;19;2;4
31;31;0;11;4;5;0;11;4;5;0;21;1;5;0;21;1;5
32;32;0;12;3;5;0;12;3;5;0;22;2;5;0;22;2;5
33;33;0;13;3;5;0;13;3;5;0;23;1;5;0;23;1;5
34;34;0;12;4;5;0;12;4;5;0;19;1;5;0;19;1;5
35;35;0;14;1;5;0;14;1;5;0;21;1;5;0;21;1;5
36;36;0;16;3;5;0;16;3;5;0;26;2;5;0;26;2;5
37;37;0;16;4;5;0;16;4;5;0;23;3;4;0;23;3;4
38;38;0;18;2;4;0;18;2;4;0;24;2;4;0;24;2;4
39;39;0;18;1;5;0;18;1;5;0;23;0;5;0;23;0;5
40;40;0;20;2;5;0;20;2;5;0;30;0;5;0;30;0;5
41;41;0;21;3;5;0;21;3;5;0;28;1;5;0;28;1;5
42;42;0;22;2;5;0;22;2;5;0;24;1;2;0;24;1;2
43;43;0;19;3;4;0;19;3;4;0;25;1;4;0;25;1;4
44;44;0;20;1;5;0;20;1;5;0;29;1;5;0;29;1;5
45;45;0;24;3;5;0;24;3;5;0;34;2;5;0;34;2;5
46;46;0;25;4;4;0;25;4;4;0;35;1;4;0;35;1;4
47;47;0;26;1;5;0;26;1;5;0;28;1;5;0;28;1;5
48;48;0;25;1;5;0;25;1;5;0;35;1;5;0;35;1;5
49;49;0;29;3;5;0;29;3;5;0;39;1;5;0;39;1;5
50;50;0;30;1;5;0;30;1;5;0;40;0;5;0;40;0;5
51;51;0;26;3;5;0;26;3;5;0;29;2;3;0;29;2;3
52;52;0;32;1;5;0;32;1;5;0;41;0;5;0;41;0;5
53;53;0;33;0;4;0;33;0;4;0;37;0;4;0;37;0;4
54;54;0;28;4;5;0;28;4;5;0;38;3;5;0;38;3;5
55;55;0;35;2;5;0;35;2;5;0;45;0;5;0;45;0;5
56;56;0;34;1;5;0;34;1;5;0;40;1;5;0;40;1;5
57;57;0;37;1;5;0;37;1;5;0;47;1;5;0;47;1;5
58;58;0;38;2;5;0;38;2;5;0;43;1;5;0;43;1;5
59;59;0;34;0;2;0;34;0;2;0;44;0;2;0;44;0;2
60;60;0;37;2;4;0;37;2;4;0;47;1;4;0;47;1;4
61;61;0;38;0;5;0;38;0;5;0;48;0;5;0;48;0;5
62;62;0;41;1;4;0;41;1;4;0;51;0;4;0;51;0;4
63;63;0;43;1;5;0;43;1;5;0;53;0;5;0;53;0;5
64;64;0;44;3;5;0;44;3;5;0;49;1;5;0;49;1;5
65;65;0;43;5;5;0;43;5;5;0;53;4;5;0;53;4;5
66;66;0;45;2;5;0;45;2;5;0;55;1;5;0;55;1;5
67;67;0;44;2;5;0;44;2;5;0;52;2;5;0;52;2;5
68;68;0;46;0;5;0;46;0;5;0;54;0;5;0;54;0;5
69;69;0;49;3;5;0;49;3;5;0;55;0;5;0;55;0;5
70;70;0;44;2;3;0;44;2;3;0;54;1;3;0;54;1;3
71;71;0;48;1;5;0;48;1;5;0;58;0;5;0;58;0;5
72;72;0;52;0;5;0;52;0;5;0;62;0;5;0;62;0;5
73;73;0;52;2;5;0;52;2;5;0;62;1;5;0;62;1;5
74;74;0;54;1;4;0;54;1;4;0;43;1;3;0;43;1;3
75;75;0;52;1;5;0;52;1;5;0;55;1;4;0;55;1;4
76;76;0;55;2;5;0;55;2;5;0;51;0;5;0;51;0;5
77;77;0;54;3;3;0;54;3;3;0;48;2;3;0;48;2;3
