1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;3;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
4;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
6;6;0;1;0;0;0;1;0;0;0;1;0;0;0;1;0;0
7;7;0;1;0;1;0;1;0;1;0;1;0;1;0;1;0;1
8;8;2;2;1;0;2;2;1;0;0;2;0;0;0;2;0;0
9;9;0;2;2;1;0;2;2;1;0;2;0;1;0;2;0;1
10;10;0;2;1;3;0;2;1;3;0;2;0;3;0;2;0;3
11;11;1;2;3;4;1;2;3;4;0;2;0;2;0;2;0;2
12;12;4;5;1;1;4;5;1;1;0;5;0;1;0;5;0;1
13;13;4;5;2;2;4;5;2;2;0;5;0;2;0;5;0;2
14;14;7;7;2;2;7;7;2;2;0;6;0;2;0;6;0;2
15;15;7;7;3;3;7;7;3;3;0;7;0;3;0;7;0;3
16;16;8;7;3;2;8;7;3;2;0;7;0;2;0;7;0;2
17;17;9;9;3;3;9;9;3;3;0;9;0;3;0;9;0;3
18;18;9;10;3;3;9;10;3;3;0;10;0;3;0;10;0;3
19;19;10;10;3;2;10;10;3;2;0;10;0;2;0;10;0;2
20;20;4;13;0;0;4;13;0;0;0;13;0;0;0;13;0;0
21;21;11;11;5;5;11;11;5;5;0;11;0;5;0;11;0;5
22;22;11;13;4;4;11;13;4;4;0;13;0;4;0;13;0;4
23;23;15;14;2;2;15;14;2;2;0;14;0;2;0;14;0;2
24;24;12;17;1;2;12;17;1;2;0;15;0;2;0;15;0;2
25;25;12;16;3;4;12;16;3;4;0;16;0;4;0;16;0;4
26;26;14;13;3;3;14;13;3;3;0;13;0;3;0;13;0;3
27;27;11;18;2;3;11;18;2;3;0;17;0;3;0;17;0;3
28;28;17;21;0;2;17;21;0;2;0;21;0;2;0;21;0;2
29;29;19;21;2;3;19;21;2;3;0;21;0;3;0;21;0;3
30;30;21;19;3;4;21;19;3;4;0;19;0;4;0;19;0;4
