1;0.0003;0.0;0.0003;0.0
2;0.0004;0.0;0.0003;0.0
3;0.0004;0.0;0.0003;0.0001
4;0.0004;0.0;0.0004;0.0
5;0.0005;0.0;0.0004;0.0
6;0.0005;0.0;0.0005;0.0001
7;0.0006;0.0001;0.0005;0.0
8;0.0006;0.0001;0.0005;0.0
9;0.0006;0.0001;0.0005;0.0001
10;0.0007;0.0001;0.0006;0.0
11;0.0007;0.0001;0.0006;0.0001
12;0.0008;0.0;0.0007;0.0
13;0.0008;0.0001;0.0007;0.0001
14;0.0008;0.0001;0.0007;0.0001
15;0.0009;0.0001;0.0008;0.0001
16;0.0009;0.0;0.0008;0.0
17;0.001;0.0001;0.0008;0.0001
18;0.001;0.0001;0.0009;0.0001
19;0.0011;0.0001;0.001;0.0001
20;0.0011;0.0001;0.0009;0.0001
21;0.0011;0.0001;0.001;0.0001
22;0.0011;0.0001;0.001;0.0001
23;0.0012;0.0001;0.0011;0.0
24;0.0012;0.0001;0.0011;0.0001
25;0.0013;0.0001;0.0011;0.0001
26;0.0013;0.0001;0.0012;0.0001
27;0.0014;0.0001;0.0012;0.0001
28;0.0014;0.0002;0.0012;0.0001
29;0.0014;0.0001;0.0013;0.0001
30;0.0015;0.0001;0.0014;0.0001
31;0.0015;0.0001;0.0013;0.0001
32;0.0016;0.0001;0.0014;0.0001
33;0.0016;0.0001;0.0014;0.0001
34;0.0016;0.0001;0.0014;0.0001
35;0.0017;0.0001;0.0015;0.0001
36;0.0016;0.0001;0.0016;0.0002
37;0.0018;0.0001;0.0016;0.0002
38;0.0018;0.0002;0.0016;0.0001
39;0.0018;0.0002;0.0016;0.0001
40;0.0019;0.0001;0.0017;0.0001
41;0.0019;0.0001;0.0017;0.0001
42;0.002;0.0001;0.0018;0.0002
43;0.002;0.0002;0.0018;0.0001
44;0.0021;0.0002;0.0019;0.0001
45;0.0021;0.0002;0.0018;0.0001
46;0.0021;0.0001;0.0019;0.0001
47;0.0021;0.0001;0.0019;0.0001
48;0.0022;0.0002;0.0019;0.0002
49;0.0023;0.0001;0.002;0.0001
50;0.0023;0.0002;0.002;0.0002
51;0.0023;0.0002;0.0021;0.0002
52;0.0025;0.0002;0.0021;0.0002
53;0.0024;0.0002;0.0021;0.0002
54;0.0025;0.0002;0.0021;0.0002
55;0.0025;0.0002;0.0022;0.0002
56;0.0025;0.0001;0.0022;0.0002
57;0.0026;0.0002;0.0023;0.0002
58;0.0026;0.0002;0.0023;0.0001
59;0.0026;0.0002;0.0023;0.0002
60;0.0026;0.0002;0.0024;0.0002
61;0.0027;0.0002;0.0024;0.0002
62;0.0026;0.0002;0.0024;0.0002
63;0.0027;0.0002;0.0024;0.0002
64;0.0028;0.0002;0.0024;0.0002
65;0.0028;0.0003;0.0026;0.0002
66;0.0029;0.0002;0.0027;0.0005
67;0.003;0.0003;0.0026;0.0003
68;0.0038;0.0022;0.0032;0.0016
69;0.0031;0.0002;0.0027;0.0002
70;0.0031;0.0002;0.0027;0.0002
71;0.0032;0.0002;0.0028;0.0002
72;0.003;0.0002;0.0026;0.0002
73;0.0032;0.0002;0.0029;0.0002
74;0.0032;0.0002;0.0029;0.0001
75;0.0031;0.0002;0.0029;0.0002
76;0.0033;0.0002;0.003;0.0002
77;0.0033;0.0003;0.0029;0.0002
78;0.0034;0.0003;0.0029;0.0002
79;0.0034;0.0002;0.0031;0.0002
80;0.0034;0.0003;0.0031;0.0002
81;0.0036;0.0002;0.0032;0.0003
82;0.0037;0.0002;0.0031;0.0002
83;0.0035;0.0003;0.0031;0.0003
84;0.0037;0.0003;0.0034;0.0002
85;0.0036;0.0003;0.0032;0.0003
86;0.0036;0.0003;0.0033;0.0003
87;0.0039;0.0003;0.0034;0.0003
88;0.0038;0.0002;0.0035;0.0002
89;0.0039;0.0002;0.0035;0.0002
90;0.004;0.0003;0.0033;0.0002
91;0.0036;0.0003;0.0033;0.0003
92;0.004;0.0002;0.0036;0.0003
93;0.0039;0.0002;0.0035;0.0003
94;0.0041;0.0003;0.0036;0.0003
95;0.0041;0.0002;0.0037;0.0003
96;0.004;0.0002;0.0037;0.0002
97;0.0042;0.0002;0.0038;0.0003
98;0.0042;0.0003;0.0036;0.0002
99;0.0041;0.0003;0.0036;0.0002
100;0.0045;0.0005;0.0038;0.0003
