1;0.0001;0.0;0.0;0.0
2;0.0;0.0;0.0;0.0
3;0.0;0.0;0.0;0.0
4;0.0;0.0;0.0;0.0
5;0.0;0.0;0.0;0.0
6;0.0002;0.0;0.0001;0.0
7;0.0003;0.0001;0.0002;0.0
8;0.0004;0.0001;0.0003;0.0001
9;0.0006;0.0001;0.0005;0.0001
10;0.0007;0.0001;0.0006;0.0001
11;0.0009;0.0001;0.0008;0.0001
12;0.0011;0.0001;0.001;0.0001
13;0.0013;0.0001;0.0011;0.0001
14;0.0015;0.0001;0.0014;0.0001
15;0.0019;0.0001;0.0016;0.0001
16;0.002;0.0001;0.0018;0.0001
17;0.0024;0.0002;0.0021;0.0001
18;0.0027;0.0001;0.0024;0.0001
19;0.0031;0.0003;0.0028;0.0003
20;0.0035;0.0003;0.003;0.0002
21;0.0036;0.0002;0.0034;0.0004
22;0.004;0.0001;0.0036;0.0001
23;0.0044;0.0001;0.004;0.0002
24;0.0048;0.0002;0.0043;0.0002
25;0.0053;0.0002;0.0047;0.0002
26;0.0059;0.0002;0.0052;0.0001
27;0.0063;0.0004;0.0056;0.0002
28;0.0069;0.0004;0.0062;0.0003
29;0.0074;0.0003;0.0068;0.0006
30;0.0079;0.0002;0.007;0.0003
31;0.0084;0.0005;0.0076;0.0004
32;0.009;0.0005;0.0079;0.0002
33;0.0095;0.0005;0.0085;0.0002
34;0.0101;0.0003;0.0091;0.0003
35;0.0108;0.0003;0.0097;0.0004
36;0.0117;0.0008;0.0105;0.0003
37;0.0121;0.0003;0.0107;0.0004
38;0.013;0.0005;0.0116;0.0004
39;0.0136;0.0006;0.012;0.0002
40;0.0139;0.0003;0.0128;0.0005
41;0.0148;0.0005;0.0133;0.0005
42;0.0157;0.0004;0.0142;0.0007
43;0.0169;0.0005;0.0154;0.0013
44;0.0173;0.0006;0.0156;0.0005
45;0.0182;0.0005;0.0162;0.0003
46;0.0189;0.0005;0.0173;0.0008
47;0.0199;0.0005;0.0183;0.0009
48;0.0204;0.0008;0.0187;0.0007
49;0.0218;0.0006;0.0195;0.0007
50;0.0234;0.0032;0.0201;0.0007
51;0.0239;0.0009;0.0216;0.0007
52;0.025;0.0008;0.0223;0.0004
53;0.0255;0.0009;0.0227;0.0005
54;0.0289;0.0073;0.0249;0.0033
55;0.0277;0.0009;0.0253;0.0011
56;0.0287;0.001;0.0257;0.0007
57;0.0301;0.0009;0.027;0.0008
58;0.0315;0.0029;0.0279;0.0015
59;0.0327;0.0018;0.0311;0.0051
60;0.0341;0.0016;0.0317;0.0037
61;0.0355;0.0025;0.0314;0.0016
62;0.0371;0.0036;0.033;0.0023
63;0.0376;0.0033;0.0354;0.0067
64;0.0415;0.0096;0.0358;0.0045
65;0.0413;0.0046;0.0364;0.0028
66;0.0415;0.0045;0.0377;0.0046
67;0.044;0.0048;0.0388;0.0022
68;0.0442;0.0021;0.0403;0.0018
69;0.0457;0.003;0.0414;0.0023
70;0.0482;0.007;0.0424;0.0033
71;0.0522;0.0123;0.0457;0.0079
72;0.0515;0.0059;0.0464;0.0061
73;0.0508;0.0027;0.0491;0.0107
74;0.0536;0.002;0.0471;0.0007
75;0.0549;0.0025;0.0488;0.0016
76;0.0581;0.005;0.0518;0.0043
77;0.0586;0.0033;0.0527;0.0028
78;0.0632;0.014;0.0559;0.012
79;0.0614;0.0035;0.057;0.0067
80;0.0649;0.0057;0.0568;0.0031
81;0.0648;0.0049;0.0582;0.0037
82;0.0654;0.0021;0.0603;0.0075
83;0.0679;0.0029;0.0616;0.0037
84;0.0732;0.0091;0.064;0.0055
85;0.0737;0.0093;0.0654;0.0061
86;0.0743;0.005;0.0676;0.0075
87;0.0799;0.0175;0.0758;0.0293
88;0.0802;0.0096;0.0704;0.0074
89;0.08;0.0077;0.0722;0.0082
90;0.0816;0.0084;0.0738;0.0058
91;0.0848;0.0081;0.0783;0.0089
92;0.0897;0.0147;0.0826;0.0188
93;0.0879;0.0062;0.0793;0.0046
94;0.0899;0.0072;0.087;0.0195
95;0.1008;0.0302;0.0921;0.0314
96;0.1024;0.0308;0.0915;0.0251
97;0.1042;0.0317;0.0942;0.0277
98;0.0986;0.0085;0.0887;0.0075
99;0.1005;0.0055;0.0898;0.0028
100;0.1043;0.0072;0.0935;0.0057
